C1-Reading L,001,No Description
C2-Reading R,002,No Description
C3-C14-Head Board,003,No Description
C4-C5-Table+Art work Sofa,004,No Description
C6-Sofa Ceiling,005,No Description
C7.1-Shower+Bathtub,006,No Description
C7.2-C20-C21-Vanity,007,No Description
C8-Bathroom ceiling,008,No Description
C9-C10-C22-Artwork+miror+shoes,009,No Description
C11-Entry,010,No Description
C16-Night Light,011,No Description
C23-C24-Cabinet + Pantry,012,No Description
FAN-L,021,No Description
FAN-M,022,No Description
FAN-H,023,No Description
VALVE,024,No Description
C18-SOCKET+Table Lamp,025,No Description
C17-Floor Lamp,026,No Description
C19-Floor Lamp 2,027,No Description
C13-Bedside L,028,No Description
C15-Bedside R,029,No Description
BELL,030,No Description
DND,253,No Description
MUR,254,No Description
