C1-Minibar,001,No Description
C2-Entry,002,No Description
C3-Reading R,003,No Description
C4-Reading L,004,No Description
C5-Vanity,005,No Description
C6-WC,006,No Description
C10-Night Light,007,No Description
Spare,008,No Description
FAN-L,021,No Description
FAN-M,022,No Description
FAN-H,023,No Description
VAVLE,024,No Description
Socket,025,No Description
C7-Floor Lamp,026,No Description
C8-Table Lamp,027,No Description
C9-Bedside R,028,No Description
C11-Bedside L,029,No Description
Bell,030,No Description
DND,253,No Description
MUR,254,No Description
