C1-Entry,001,No Description
C2.1-Kitchen,002,No Description
C3-TV Wall,003,No Description
C4-Living,004,No Description
C5-Bathroom,005,No Description
C6-Vanity,006,No Description
C8-Reading R,007,No Description
C9-Reading L,008,No Description
C10.1-Bedroom,009,No Description
C10.2-Downlight Bedroom,010,No Description
C15-Wadrobe,011,No Description
C19-Night Light,012,No Description
Spare1,013,No Description
Spare2,014,No Description
Spare3,015,No Description
Spare4,016,No Description
FAN Low-Bed,021,No Description
FAN Med-Bed,022,No Description
FAN High-Bed,023,No Description
VALVE-Bed,024,No Description
Soket,025,No Description
FAN Low-Living,026,No Description
FAN Med-Living,027,No Description
FAN High-Living,028,No Description
VALVE-Living,029,No Description
BELL,030,No Description
C2.2-Dining Table,031,No Description
C7-Floor Lamp,032,No Description
C12-Desk Lamp,033,No Description
C13-Table Lamp,034,No Description
C16-Bedside R,035,No Description
C18-Bedside L,036,No Description
DND,253,No Description
MUR,254,No Description
