C1.1-Vanity,001,No Description
C1.2-WC,002,No Description
C2-Entry,003,No Description
C3-Reading R,004,No Description
C4-Mini Bar,005,No Description
C5-Reading L,006,No Description
C6-Head Bed,007,No Description
C7-Night Light,008,No Description
FAN-L,021,No Description
FAN-M,022,No Description
FAN-H,023,No Description
VAVLE,024,No Description
Socket,025,No Description
C8-Wall Lamp,026,No Description
C9-Table Lamp,027,No Description
C10,028,No Description
Spare,029,No Description
Bell,030,No Description
DND,253,No Description
MUR,254,No Description
